HUC,lat,lon,consumption,withdrawal
11,36,-98.5,45,740
12,30.5,-97.5,33,3045
13,34,-106,2,3
14,39,-109,28,348
15,34,-111.5,36,98
16,40,-115,10,36
18,37,-120,13,593 
