IGRP,PLANT,RFURB,RYR,ECP,SUMCAP,WINCAP,FUELTYPE,COOLTECH,UNITTECH,WATERSOURCE,FUELREG,HUC8,HUC8_QGIS,LAT,LON
1,2,1963,999912,HY,56,52,HY,NA,HY,Surface,17,03160112_AL,03160112_AL,-87.357,33.459
2,3,1954,201912,C1,138,138,CL,OT,ST,Surface,17,03160204_AL,03160204_AL,-88.01,31.007
4,3,1954,201912,C1,137,137,CL,OT,ST,Surface,17,03160204_AL,03160204_AL,-88.01,31.007
6,3,1959,999912,C1,249,249,CL,OT,ST,Surface,17,03160204_AL,03160204_AL,-88.01,31.007
8,3,1969,999912,C1,362,362,CL,OT,ST,Surface,17,03160204_AL,03160204_AL,-88.01,31.007
10,3,1971,999912,C7,726.5,726.5,CL,OT,ST,Surface,17,03160204_AL,03160204_AL,-88.01,31.007
12,3,2000,999912,EC,962,1064,NG,RC,CC,Surface,17,03160204_AL,03160204_AL,-88.01,31.007
13,4,1967,999912,HY,225.9,228,HY,NA,HY,Surface,17,03150201_AL,03150107_AL,-86.283,32.584
14,7,1949,201412,C1,64,64,CL,OT,ST,Surface,17,03150106_AL,03150106_AL,-85.971,34.013
15,7,1949,201412,C1,66,66,CL,OT,ST,Surface,17,03150106_AL,03150106_AL,-85.971,34.013
16,8,1972,999912,C7,703,703,CL,OT,ST,Surface,17,03160109_AL,03160109_AL,-87.197,33.644
18,8,1951,201612,C1,103,103,CL,OT,ST,Surface,17,03160109_AL,03160109_AL,-87.197,33.644
19,8,1952,201712,C1,104,104,CL,OT,ST,Surface,17,03160109_AL,03160109_AL,-87.197,33.644
20,8,1956,999912,C4,161,161,CL,OT,ST,Surface,17,03160109_AL,03160109_AL,-87.197,33.644
22,8,1958,999912,C4,170,170,CL,OT,ST,Surface,17,03160109_AL,03160109_AL,-87.197,33.644
24,9,1980,999912,ET,62,62,NG,NA,CT,Surface,18,13040100_TX,13040100_TX,-106.375,31.757
25,10,1965,999912,C1,254,254,CL,OT,ST,Surface,17,03160113_AL,03160113_AL,-87.781,32.602
27,10,1966,999912,C1,243,243,CL,OT,ST,Surface,17,03160113_AL,03160113_AL,-87.781,32.602
29,10,1996,999912,ET,740,884,NG,NA,CT,Surface,17,03160113_AL,03160113_AL,-87.781,32.602
30,11,1966,999912,HY,70,67,HY,NA,HY,Surface,17,03150106_AL,03150106_AL,-86.052,33.784
31,12,1968,201512,HY,45,45,HY,NA,HY,Surface,17,03160112_AL,03160112_AL,-87.449,33.255
32,13,1929,999912,HY,100,100,HY,NA,HY,Surface,17,03150107_AL,03150107_AL,-86.255,32.619
33,14,1964,999912,HY,135,125,HY,NA,HY,Surface,17,03150106_AL,03150106_AL,-86.334,33.424
34,15,1968,999912,HY,178.8,180,HY,NA,HY,Surface,17,03150107_AL,03150107_AL,-86.519,32.963
35,16,1927,999912,HY,186,163.2,HY,NA,HY,Surface,17,03150110_AL,03150109_AL,-85.913,32.68
36,17,1949,999912,HY,165.9,167.1,HY,NA,HY,Surface,17,03150107_AL,03150107_AL,-86.446,32.805
37,18,1961,999912,HY,180,166,HY,NA,HY,Surface,17,03160110_AL,03160110_AL,-87.108,33.941
38,19,1931,999912,HY,78,78,HY,NA,HY,Surface,17,03150110_AL,03150110_AL,-85.889,32.535
39,20,1962,999912,HY,74.1,66.9,HY,NA,HY,Surface,17,03150105_AL,03150105_AL,-85.753,34.172
40,21,1928,999912,HY,47,48,HY,NA,HY,Surface,17,03150110_AL,03150110_AL,-85.89,32.574
41,26,1960,999912,C4,254,254,CL,OT,ST,Surface,17,03150107_AL,03150107_AL,-86.457,33.244
45,26,1960,999912,B1,256,256,CL,OT,ST,Surface,17,03150107_AL,03150107_AL,-86.457,33.244
47,26,1961,999912,B1,254,254,CL,OT,ST,Surface,17,03150107_AL,03150107_AL,-86.457,33.244
49,26,1974,999912,C7,842,842,CL,RC,ST,Surface,17,03150107_AL,03150107_AL,-86.457,33.244
51,26,1970,999912,ET,16,20,OL,NA,CT,Surface,17,03150107_AL,03150107_AL,-86.457,33.244
52,26,1962,999912,C1,256,256,CL,OT,ST,Surface,17,03150107_AL,03150107_AL,-86.457,33.244
54,30,2001,999912,ET,10.2,10.6,NN,NA,NN,Unknown,8,07020010_MN,07020010_MN,-94.415,44.053
55,34,1980,999912,HY,12.1,12.1,HY,NA,HY,Surface,23,18020126_CA,18020126_CA,-120.952,39.134
56,38,1970,999912,HY,90,90,HY,NA,HY,Surface,17,03150203_AL,03150203_AL,-87.397,32.101
57,46,1974,999912,CN,1100.8,1131.7,NU,OT,ST,Surface,17,06030002_AL,06030002_AL,-87.119,34.704
58,46,1975,999912,CN,1103.7,1135.2,NU,OT,ST,Surface,17,06030002_AL,06030002_AL,-87.119,34.704
60,46,1977,999912,CN,1104.9,1134.2,NU,OT,ST,Surface,17,06030002_AL,06030002_AL,-87.119,34.704
62,47,1955,999912,C1,178,182,CL,OT,ST,Surface,17,06030005_AL,06030005_AL,-87.849,34.744
63,47,1955,999912,C1,178,182,CL,OT,ST,Surface,17,06030005_AL,06030005_AL,-87.849,34.744
64,47,1955,999912,C1,178,182,CL,OT,ST,Surface,17,06030005_AL,06030005_AL,-87.849,34.744
65,47,1955,999912,C1,178,182,CL,OT,ST,Surface,17,06030005_AL,06030005_AL,-87.849,34.744
66,47,1965,999912,C1,472,481,CL,OT,ST,Surface,17,06030005_AL,06030005_AL,-87.849,34.744
67,47,1972,999912,ET,363.2,486.4,NG,NA,CT,Surface,17,06030005_AL,06030005_AL,-87.849,34.744
68,48,1939,999912,HY,122.7,124.5,HY,NA,HY,Surface,17,06030001_AL,06030002_AL,-86.393,34.421
69,49,1936,999912,HY,398.2,366,HY,NA,HY,Surface,17,06030002_AL,06030005_AL,-87.382,34.807
70,50,1952,20147,C1,111,113,CL,OT,ST,Surface,17,06030001_AL,06030001_AL,-85.755,34.883
71,50,1952,999912,C1,111,113,CL,OT,ST,Surface,17,06030001_AL,06030001_AL,-85.755,34.883
72,50,1952,20137,C1,111,113,CL,OT,ST,Surface,17,06030001_AL,06030001_AL,-85.755,34.883
73,50,1953,20157,C1,111,113,CL,OT,ST,Surface,17,06030001_AL,06030001_AL,-85.755,34.883
74,50,1954,20137,C1,111,113,CL,OT,ST,Surface,17,06030001_AL,06030001_AL,-85.755,34.883
75,50,1954,20157,C1,111,113,CL,OT,ST,Surface,17,06030001_AL,06030001_AL,-85.755,34.883
76,50,1961,999912,C7,473,476,CL,OT,ST,Surface,17,06030001_AL,06030001_AL,-85.755,34.883
78,50,1965,999912,H7,465,469,CL,OT,ST,Surface,17,06030001_AL,06030001_AL,-85.755,34.883
79,51,1986,999912,C4,638,638,CL,RC,ST,Surface,18,11140206_LA,11140206_LA,-93.569,32.031
81,53,1926,999912,HY,2.8,2.8,HY,NA,HY,Surface,17,03140301_AL,03140301_AL,-86.475,31.401
82,54,1999,999912,ET,104,142,NG,NA,CT,Surface,16,05100205_KY,05100205_KY,-84.102,37.883
83,54,2010,999912,ET,88,107,NN,NA,NN,Unknown,16,05100205_KY,05100205_KY,-84.102,37.883
84,54,1999,999912,ET,504,676,NG,NA,CT,Surface,16,05100205_KY,05100205_KY,-84.102,37.883
85,54,2010,999912,ET,88,107,NN,NA,NN,Unknown,16,05100205_KY,05100205_KY,-84.102,37.883
86,55,1925,999912,HY,5.4,5.4,HY,NA,HY,Surface,17,03140301_AL,03140301_AL,-86.518,31.361
87,56,1969,999912,C4,80,80,CL,OT,ST,Surface,17,03160203_AL,03160203_AL,-87.911,31.486
88,56,1978,999912,C7,235,235,CL,RC,ST,Surface,17,03160203_AL,03160203_AL,-87.911,31.486
90,56,1980,999912,C7,235,235,CL,RC,ST,Surface,17,03160203_AL,03160203_AL,-87.911,31.486
91,59,1982,999912,C1,100,100,CL,RC,ST,Groundwater,9,10250016_NE,10200101_NE,-98.348,40.854
92,60,1981,999912,C1,77,77,CL,RC,ST,Groundwater,9,10270203_NE,10270203_NE,-98.312,40.581
93,60,2011,999912,B7,231.999,231.999,CL,RC,ST,Groundwater,9,10270203_NE,10270203_NE,-98.312,40.581
98,72,1982,999912,HY,10.1,10.1,NN,NA,NN,Unknown,23,18070104_CA,18070104_CA,-118.417,34.011
99,87,1984,999912,B3,247,247,CL,RC,ST,Groundwater,21,13020207_NM,13020207_NM,-108.082,35.416
100,88,1982,999912,HY,3.8,2.6,HY,NA,HY,Surface,2,02020006_NY,02020006_NY,-74.206,41.949
101,99,1981,999912,ET,134,162.2,NN,NA,NN,Unknown,22,17110019_WA,17110019_WA,-122.435,48.455
102,100,1981,999912,HY,1.4,1.4,HY,NA,HY,Surface,21,15060106_AZ,15060106_AZ,-111.779,33.467
103,104,1987,999912,PS,199.8,199.8,HY,NA,OT,Surface,23,18040006_CA,18040006_CA,-119.256,37.148
104,108,1983,999912,B7,358.8,358.8,CL,RC,ST,Groundwater,7,11030001_KS,11030001_KS,-100.973,37.931
105,113,1962,999912,B3,116,116,CL,PD,ST,Surface,21,15020008_AZ,15020008_AZ,-110.303,34.939
107,113,1978,999912,H4,260,260,CL,PD,ST,Surface,21,15020008_AZ,15020008_AZ,-110.303,34.939
108,113,1980,999912,B3,271,271,CL,RC,ST,Surface,21,15020008_AZ,15020008_AZ,-110.303,34.939
110,113,1981,999912,B3,380,380,CL,RC,ST,Surface,21,15020008_AZ,15020008_AZ,-110.303,34.939
112,114,1972,999912,ET,15,19,OL,NA,CT,Surface,21,15080301_AZ,15080301_AZ,-109.556,31.347
113,116,1960,999912,ST,220,220,NG,RC,ST,Groundwater,21,15060106_AZ,15060106_AZ,-111.912,33.423
114,116,1972,999912,ET,100,124,NG,NA,CT,Groundwater,21,15060106_AZ,15060106_AZ,-111.912,33.423
115,116,1998,999912,PV,0.6,0.6,PV,NA,PV,Groundwater,21,15060106_AZ,15060106_AZ,-111.912,33.423
116,117,1976,999912,EC,852,902,NG,RC,CC,Groundwater,21,15060106_AZ,15060106_AZ,-112.158,33.442
117,117,1972,999912,ET,100,124,NG,NA,CT,Groundwater,21,15060106_AZ,15060106_AZ,-112.158,33.442
118,118,1954,20137,ST,210,210,NG,RC,ST,Groundwater,21,15050303_AZ,15050303_AZ,-111.3,32.552
119,118,2002,999912,ET,76,79,NG,NA,CT,Groundwater,21,15050303_AZ,15050303_AZ,-111.3,32.552
120,118,1972,999912,ET,100,124,NG,NA,CT,Groundwater,21,15050303_AZ,15050303_AZ,-111.3,32.552
121,118,2005,20134,SO,1,1,CS,RC,SU,Groundwater,21,15050303_AZ,15050303_AZ,-111.3,32.552
122,120,1971,999912,ET,36,44,NG,NA,CT,Groundwater,21,15030108_AZ,15030108_AZ,-114.711,32.721
123,120,1978,999912,ET,20,22,OL,NA,CT,Groundwater,21,15030108_AZ,15030108_AZ,-114.711,32.721
124,120,1973,999912,ET,52,62,NG,NA,CT,Groundwater,21,15030108_AZ,15030108_AZ,-114.711,32.721
125,120,1974,999912,ET,51,61,OL,NA,CT,Groundwater,21,15030108_AZ,15030108_AZ,-114.711,32.721
126,120,2008,999912,ET,94,98,NG,NA,CT,Groundwater,21,15030108_AZ,15030108_AZ,-114.711,32.721
127,120,1959,999912,ST,75,75,NG,RC,ST,Groundwater,21,15030108_AZ,15030108_AZ,-114.711,32.721
128,124,2001,999912,ET,72.2,83.3,NG,NA,CT,Groundwater,21,15050301_AZ,15050301_AZ,-110.989,32.251
129,126,1967,999912,B1,156,156,CL,RC,ST,Groundwater,21,15050301_AZ,15050301_AZ,-110.904,32.16
130,126,1972,999912,ET,49,49,NG,NA,CT,Groundwater,21,15050301_AZ,15050301_AZ,-110.904,32.16
131,126,1958,999912,ST,267,267,NG,RC,ST,Groundwater,21,15050301_AZ,15050301_AZ,-110.904,32.16
132,127,1986,999912,C4,670,670,CL,RC,ST,Surface,18,11130207_TX,11130207_TX,-99.175,34.083
136,130,1995,999912,C7,580,590,CL,RC,ST,Surface,12,03050201_SC,03050201_SC,-80.112,33.369
137,130,1984,999912,C7,570,585,CL,RC,ST,Surface,12,03050201_SC,03050201_SC,-80.112,33.369
138,130,2007,999912,C7,590,600,CL,RC,ST,Surface,12,03050201_SC,03050201_SC,-80.112,33.369
139,130,2008,999912,C7,590,600,CL,RC,ST,Surface,12,03050201_SC,03050201_SC,-80.112,33.369
140,136,1984,999912,C7,675,685,CL,RC,ST,Surface,15,03080101_FL,03080103_FL,-81.633,29.733
141,136,1985,999912,C7,688,698,CL,RC,ST,Surface,15,03080101_FL,03080103_FL,-81.633,29.733
142,141,1958,999912,ST,407,412,NG,RC,ST,Groundwater,21,15070102_AZ,15070102_AZ,-112.215,33.556
143,141,1975,999912,ET,219,251,NG,NA,CT,Groundwater,21,15070102_AZ,15070102_AZ,-112.215,33.556
144,141,2001,999912,PV,0.2,0.2,PV,NA,PV,Groundwater,21,15070102_AZ,15070102_AZ,-112.215,33.556
145,143,1942,999912,ST,30,30,HY,NA,HY,Surface,21,15060106_AZ,15060106_AZ,-111.944,33.44
146,143,1939,999912,HY,3,3,HY,NA,HY,Surface,21,15060106_AZ,15060106_AZ,-111.944,33.44
147,145,1927,999912,HY,30,30,HY,NA,HY,Surface,21,15060106_AZ,15060106_AZ,-111.344,33.591
148,145,1972,999912,PS,119,119,HY,NA,OT,Surface,21,15060106_AZ,15060106_AZ,-111.344,33.591
149,147,1952,999912,ST,106,106,NG,RC,CC,Waste,21,15050100_AZ,15050100_AZ,-111.935,33.356
150,147,1971,999912,ET,165,186.5,NG,NA,CT,Waste,21,15050100_AZ,15050100_AZ,-111.935,33.356
151,147,2002,999912,EC,254,277,NG,RC,CC,Waste,21,15050100_AZ,15050100_AZ,-111.935,33.356
152,148,1926,999912,HY,11,11,HY,NA,HY,Surface,21,15060106_AZ,15060106_AZ,-111.443,33.553
153,148,1971,999912,PS,57.3,57.3,HY,NA,OT,Surface,21,15060106_AZ,15060106_AZ,-111.443,33.553
154,149,1973,999912,HY,36,36,HY,NA,HY,Surface,21,15060106_AZ,15060106_AZ,-111.162,33.671
155,150,1930,999912,HY,13,13,HY,NA,HY,Surface,21,15060106_AZ,15060106_AZ,-111.536,33.566
156,151,1980,999912,ET,112,122,OL,NA,CT,Surface,23,18040010_CA,18040002_CA,-120.93,37.63
157,152,1951,999912,HY,254.8,254.8,HY,NA,HY,Surface,21,15030101_AZ,15030101_AZ,-114.571,35.197
158,153,1964,999912,HY,1312,1312,HY,NA,HY,Surface,21,14070006_AZ,14070006_AZ,-111.484,36.936
159,154,1936,999912,HY,1039.4,1039.4,HY,NA,HY,Surface,20,16060015_NV,15010005_NV,-114.738,36.015
160,159,1981,999912,HY,1,1,HY,NA,HY,Surface,20,16020203_UT,16020203_UT,-111.405,40.5
161,160,1963,999912,EC,82,82,CL,RC,ST,Groundwater,21,15050201_AZ,15050201_AZ,-109.893,32.06
162,160,1972,999912,ET,18.5,20,NN,NA,NN,Unknown,21,15050201_AZ,15050201_AZ,-109.893,32.06
163,160,1975,999912,ET,60,63,NN,NA,NN,Unknown,21,15050201_AZ,15050201_AZ,-109.893,32.06
164,160,2002,999912,ET,38,44,NN,NA,NN,Unknown,21,15050201_AZ,15050201_AZ,-109.893,32.06
166,160,1979,999912,C4,175,175,CL,RC,ST,Groundwater,21,15050201_AZ,15050201_AZ,-109.893,32.06
167,160,1979,999912,C4,175,175,CL,RC,ST,Groundwater,21,15050201_AZ,15050201_AZ,-109.893,32.06
168,161,1980,999912,HY,3.3,3.3,HY,NA,HY,Surface,23,18040002_CA,18040002_CA,-120.595,37.611
169,162,1979,999912,HY,1,1,HY,NA,HY,Surface,23,18040002_CA,18040002_CA,-120.746,37.622
170,165,1981,999912,C1,490,490,CL,RC,ST,Surface,18,11070209_OK,11070209_OK,-95.289,36.19
171,165,1985,999912,CX,520,520,CL,RC,ST,Surface,18,11070209_OK,11070209_OK,-95.289,36.19
173,166,1932,999912,HY,62,56,HY,NA,HY,Surface,18,08040101_AR,08040101_AR,-93.026,34.443
174,167,1949,999912,ST,170,170,NG,RC,ST,Surface,18,11110207_AR,11110207_AR,-92.199,34.753
175,167,1967,999912,ET,5,5,NN,NA,NN,Unknown,18,11110207_AR,11110207_AR,-92.199,34.753
177,169,1954,999912,ST,123,123,NG,RC,ST,Groundwater,18,11140205_AR,11140205_AR,-93.465,33.359
178,170,1950,999912,ST,713,742.5,NG,OT,ST,Surface,18,08040101_AR,08040101_AR,-92.905,34.434
179,171,1970,999912,ET,56,64,NG,NA,CT,Unknown,18,11110207_AR,11110207_AR,-92.409,34.636
180,172,1999,999912,ET,4.8,4.8,OL,NA,CT,Surface,18,08020203_AR,08020203_AR,-90.005,35.698
182,173,1970,999912,ET,16,16,NN,NA,NN,Unknown,18,08020303_AR,08020303_AR,-90.599,34.463
183,174,1925,999912,HY,12,9,HY,NA,HY,Surface,18,08040102_AR,08040102_AR,-92.894,34.427
184,180,1981,999912,HY,0.9,0.9,HY,NA,HY,Surface,23,18020153_CA,18020118_CA,-121.862,40.452
185,182,1965,999912,HY,128.8,128.8,HY,NA,HY,Surface,18,11010001_AR,11010001_AR,-93.847,36.421
186,187,1972,999912,HY,40,40,HY,NA,HY,Surface,18,08040102_AR,08040102_AR,-93.102,34.202
187,187,1972,999912,PS,28,28,HY,NA,OT,Surface,18,08040102_AR,08040102_AR,-93.102,34.202
188,188,1964,999912,HY,110.4,110.4,HY,NA,HY,Surface,18,11010014_AR,11010014_AR,-91.995,35.521
189,193,1963,999912,ET,7.2,7.2,OL,NA,CT,Surface,18,08020203_AR,08020203_AR,-90.187,36.386
190,195,1950,999912,HY,29.1,29.1,HY,NA,HY,Surface,18,08040103_AR,08040103_AR,-93.703,34.136
191,196,1950,999912,HY,92,92,HY,NA,HY,Surface,18,11010006_AR,11010006_AR,-92.24,36.249
192,197,1955,999912,HY,75,75,HY,NA,HY,Surface,18,08040101_AR,08040101_AR,-93.185,34.567
193,198,1952,999912,HY,390.8,390.8,HY,NA,HY,Surface,18,11010003_AR,11010003_AR,-92.576,36.363
194,199,1965,999912,HY,160.8,160.8,HY,NA,HY,Surface,18,11110203_AR,11110202_AR,-93.169,35.25
195,201,1963,999912,EC,165,165,NN,NN,NN,Surface,18,11110202_AR,11110202_AR,-93.805,35.462
196,202,1966,999912,ST,122,122,NG,OT,ST,Surface,18,11010013_AR,11010013_AR,-91.363,35.26
197,203,1972,999912,ST,134,134,NG,OT,ST,Surface,18,08040102_AR,08040102_AR,-92.792,33.565
198,204,1987,999912,CN,1065,1078,NU,PD,ST,Surface,5,05120109_IL,07130009_IL,-88.834,40.172
200,207,1987,999912,CX,626,638,CL,RC,ST,Surface,15,03080103_FL,03080103_FL,-81.551,30.431
202,207,1988,999912,CX,626,638,CL,RC,ST,Surface,15,03080103_FL,03080103_FL,-81.551,30.431
204,210,1985,999912,CN,1175,1205,NU,PD,ST,Surface,7,11070204_KS,11070204_KS,-95.69,38.239
210,214,1902,999912,HY,1,1,HY,NA,HY,Surface,23,18020126_CA,18020126_CA,-120.803,39.216
211,215,1940,999912,HY,1,1,HY,NA,HY,Surface,23,18040010_CA,18040010_CA,-120.379,38.145
212,217,1927,999912,HY,31,31,HY,NA,HY,Surface,23,18030007_CA,18030012_CA,-119.392,36.68
213,218,1958,999912,HY,107,107,HY,NA,HY,Surface,23,18030007_CA,18030010_CA,-119.088,36.909
214,219,1969,999912,HY,115.7,115.7,HY,NA,HY,Surface,23,18020121_CA,18020121_CA,-121.249,40.007
215,220,1928,999912,HY,54.2,54.2,HY,NA,HY,Surface,23,18020121_CA,18020121_CA,-121.328,39.91
216,221,1958,999912,HY,40,40,HY,NA,HY,Surface,23,18020122_CA,18020121_CA,-121.191,40.176
217,222,1921,999912,HY,75.4,75.4,HY,NA,HY,Surface,23,18020122_CA,18020121_CA,-121.148,40.085
218,223,1958,999912,HY,117.9,117.9,HY,NA,HY,Surface,23,18020122_CA,18020121_CA,-121.149,40.086
219,224,1900,999912,HY,6.4,6.4,HY,NA,HY,Surface,23,18020157_CA,18020120_CA,-121.657,39.789
220,225,1965,999912,HY,7,7,HY,NA,HY,Surface,23,18020129_CA,18020129_CA,-120.813,38.772
221,226,1907,20131,HY,0.9,0.9,NN,NA,NN,Unknown,23,18020106_CA,18020106_CA,-121.571,39.533
222,227,1979,999912,HY,13,13,HY,NA,HY,Surface,23,18020152_CA,18020101_CA,-122.122,40.404
223,228,1964,20135,ST,672,672,NG,OT,ST,Surface,23,18040003_CA,18040003_CA,-121.764,38.019
224,229,1907,201412,HY,1.8,1.8,HY,NA,HY,Surface,23,18020151_CA,18020118_CA,-122.021,40.571
225,231,1949,999912,HY,72.7,72.7,HY,NA,HY,Surface,23,18020121_CA,18020121_CA,-121.409,39.826
226,232,1963,999912,HY,18.5,18.5,HY,NA,HY,Surface,23,18020158_CA,18020120_CA,-121.598,39.834
227,233,1908,999912,HY,5.7,5.7,HY,NA,HY,Surface,23,18020125_CA,18020125_CA,-120.844,39.298
228,235,1913,999912,HY,53.3,53.3,HY,NA,HY,Surface,23,18020126_CA,18020126_CA,-120.767,39.257
229,236,1965,999912,HY,48.6,48.6,HY,NA,HY,Surface,23,18020126_CA,18020126_CA,-120.767,39.257
230,237,1943,999912,HY,22,22,HY,NA,HY,Surface,23,18020126_CA,18020126_CA,-120.836,39.217
231,238,1924,999912,HY,20.6,21.1,HY,NA,HY,Surface,23,18020129_CA,18020129_CA,-120.618,38.794
232,239,1948,999912,HY,101.1,101.1,HY,NA,HY,Surface,23,18040012_CA,18040012_CA,-120.67,38.331
233,240,1958,999912,HY,146.2,146.2,HY,NA,HY,Surface,23,16050302_CA,18030010_CA,-119.02,36.927
234,241,1916,999912,HY,10.4,10.4,HY,NA,HY,Surface,23,18020161_CA,18020127_CA,-121.077,38.911
235,242,1921,999912,HY,4.8,4.8,HY,NA,HY,Surface,23,18020121_CA,18020121_CA,-121.126,40.27
236,243,1921,999912,HY,8.5,8.5,HY,NA,HY,Surface,23,18020003_CA,18020003_CA,-121.656,40.891
237,244,1921,999912,HY,8.7,8.7,HY,NA,HY,Surface,23,18020003_CA,18020003_CA,-121.656,40.891
238,246,2010,999912,ET,167,167,NN,NA,NN,Unknown,23,18010102_CA,18010102_CA,-124.21,40.741
239,246,1956,20109,ST,105,105,NG,OT,ST,Ocean,23,18010102_CA,18010102_CA,-124.163,40.762
240,248,1979,999912,HY,8,8,HY,NA,HY,Surface,23,18020153_CA,18020118_CA,-121.838,40.428
241,249,1966,999912,HY,165,165,HY,NA,HY,Surface,23,18020003_CA,18020003_CA,-121.975,40.992
242,250,1920,999912,HY,24.2,24.2,HY,NA,HY,Surface,23,18040006_CA,18040006_CA,-119.443,37.073
243,253,1904,201412,HY,3.2,3.2,HY,NA,HY,Surface,23,18020151_CA,18020118_CA,-121.913,40.629
244,254,1962,999912,HY,51.5,51.5,HY,NA,HY,Surface,23,18030007_CA,18030012_CA,-119.392,36.68
245,255,1906,999912,HY,2,2,HY,NA,HY,Surface,23,18020159_CA,18020121_CA,-121.571,39.699
246,258,1930,999912,HY,3.5,3.5,HY,NA,HY,Surface,23,18040008_CA,18040002_CA,-120.437,37.519
247,259,1956,999912,ST,999,999,NG,OT,ST,Ocean,23,18060006_CA,18060006_CA,-120.856,35.372
248,260,1967,999912,ST,1509,1509,NG,OT,ST,Ocean,23,18060015_CA,18060011_CA,-121.784,36.804
249,260,2002,999912,EC,1020,1020,NG,OT,CC,Ocean,23,18060015_CA,18060011_CA,-121.784,36.804
250,261,1954,999912,HY,3,3.8,HY,NA,HY,Surface,23,18040010_CA,18040010_CA,-120.451,38.15
251,262,1942,999912,HY,12,12,HY,NA,HY,Surface,23,18020126_CA,18020126_CA,-121.043,39.212
252,264,1940,999912,HY,2,2,HY,NA,HY,Surface,23,18040009_CA,18040009_CA,-120.326,38.032
253,265,1922,999912,HY,62.2,62.2,HY,NA,HY,Surface,23,18020003_CA,18020003_CA,-121.498,40.991
254,266,1925,999912,HY,69.7,69.7,HY,NA,HY,Surface,23,18020003_CA,18020003_CA,-121.748,40.997
255,267,1955,999912,HY,93,93,HY,NA,HY,Surface,23,18020003_CA,18020003_CA,-121.849,40.986
256,268,1944,999912,HY,160,160,HY,NA,HY,Surface,23,18020003_CA,18020003_CA,-121.978,40.986
257,269,1965,999912,HY,72.8,72.8,HY,NA,HY,Surface,23,18020003_CA,18020003_CA,-121.993,40.923
258,270,1965,999912,HY,113,113,HY,NA,HY,Surface,23,18020003_CA,18020003_CA,-121.991,40.847
259,271,1960,999912,ST,1311,1311,NG,OT,ST,Surface,23,18050001_CA,18050001_CA,-121.894,38.039
260,272,1958,999912,HY,123.2,123.2,HY,NA,HY,Surface,23,18020121_CA,18020121_CA,-121.47,39.723
261,273,1965,20112,ST,206,206,NG,OT,ST,Ocean,23,18050004_CA,18050004_CA,-122.368,37.751
262,273,1976,20112,ET,156,156,NN,NA,NN,Unknown,23,18050004_CA,18050004_CA,-122.368,37.751
263,274,1939,999912,HY,9.2,9.2,HY,NA,HY,Surface,23,18010103_CA,18010103_CA,-123.093,39.385
264,275,1950,999912,HY,119.6,119.6,HY,NA,HY,Surface,23,18020121_CA,18020121_CA,-121.345,39.905
265,276,1917,999912,HY,3.2,3.2,HY,NA,HY,Surface,23,18040006_CA,18040006_CA,-119.52,37.233
266,277,1923,999912,HY,4.2,4.2,HY,NA,HY,Surface,23,18040006_CA,18040006_CA,-119.52,37.233
267,279,1931,999912,HY,41.6,41.6,HY,NA,HY,Surface,23,18040012_CA,18040012_CA,-120.537,38.456
268,280,1979,999912,HY,7,7,HY,NA,HY,Surface,23,18020153_CA,18020118_CA,-121.879,40.395
269,281,1928,999912,HY,7,7,HY,NA,HY,Surface,23,18020128_CA,18020125_CA,-120.645,39.324
270,282,1928,999912,HY,4.4,4.4,HY,NA,HY,Surface,23,18020128_CA,18020125_CA,-120.645,39.324
271,283,1929,999912,HY,5.8,5.8,HY,NA,HY,Surface,23,18020128_CA,18020125_CA,-120.635,39.338
272,284,1921,999912,HY,7,7,HY,NA,HY,Surface,23,18040009_CA,18040010_CA,-120.112,38.186
273,285,1963,999912,HY,83,83,HY,NA,HY,Surface,23,18040010_CA,18040010_CA,-120.37,38.139
274,286,1973,999912,GT,770,801,GT,RC,GD,Groundwater,23,18010110_CA,18010110_CA,-122.745,38.777
275,287,1931,999912,HY,54.6,54.6,HY,NA,HY,Surface,23,18040012_CA,18040012_CA,-120.493,38.449
276,289,1914,999912,HY,6.4,6.4,HY,NA,HY,Surface,23,18030006_CA,18030006_CA,-118.762,36.145
277,290,1980,999912,HY,9,9,HY,NA,HY,Surface,23,18020153_CA,18020118_CA,-121.867,40.459
278,291,1948,999912,HY,13.6,13.6,HY,NA,HY,Surface,23,18040012_CA,18040012_CA,-120.549,38.421
279,292,1917,999912,HY,17.2,17.2,HY,NA,HY,Waste,23,18020161_CA,18020127_CA,-121.077,38.911
280,293,1910,999912,HY,20,20,HY,NA,HY,Surface,23,18040006_CA,18040006_CA,-119.52,37.233
281,294,1918,999912,HY,26.4,26.4,HY,NA,HY,Surface,23,18010206_CA,18010206_CA,-122.334,41.979
282,295,1925,999912,HY,35.6,35.6,HY,NA,HY,Surface,23,18010206_CA,18010206_CA,-122.357,41.975
283,296,1903,999912,HY,1.9,1.9,HY,NA,HY,Surface,23,18010206_CA,18010206_CA,-122.359,41.986
284,297,1962,999912,HY,18.8,18.8,HY,NA,HY,Surface,23,18010206_CA,18010206_CA,-122.435,41.934
285,298,1985,999912,C4,831,831,CL,RC,ST,Surface,18,12070103_TX,12070103_TX,-96.253,31.422
286,298,1986,999912,C4,858,858,CL,RC,ST,Surface,18,12070103_TX,12070103_TX,-96.253,31.422
287,299,1984,999912,GT,34,32,GT,RC,GS,Groundwater,20,16030007_UT,16030007_UT,-112.853,38.489
