IGRP,PLANT,RFURB,RYR,ECP,SUMCAP,WINCAP,FUELTYPE,COOLTECH,UNITTECH,WATERSOURCE,FUELREG,HUC8,HUC8_QGIS,LAT,LON
5259,7584,1988,999912,ET,4.5,4.5,NN,NA,NN,Unknown,7,07100007_IA,07100007_IA,-94.361,41.694
5260,7588,1984,999912,HY,96,104,HY,NA,HY,Surface,22,17110009_WA,17110009_WA,-121.814,47.908
5261,7593,1988,999912,HY,8,8,HY,NA,HY,Surface,21,13020102_NM,13020102_NM,-106.603,36.631
5262,7594,1999,999912,HY,21,21,HY,NA,HY,Surface,11,05030202_WV,05030202_WV,-81.738,39.119
5264,7594,1999,999912,HY,21,21,HY,NA,HY,Surface,11,05030202_WV,05030202_WV,-81.738,39.119
5266,7595,1996,999912,ET,16.3,20.2,NN,NA,NN,Unknown,7,07080205_IA,07080205_IA,-91.669,41.969
5267,7602,1996,20116,ET,3.6,3.6,OL,NA,CT,Surface,5,04030204_WI,04030204_WI,-88.128,44.497
5268,7603,1998,999912,ET,1.8,1.8,OL,NA,CT,Surface,4,05060001_OH,05060001_OH,-83.188,40.441
5269,7604,1999,999912,EC,464,475,NG,RC,CC,Groundwater,9,08020204_MO,08020203_MO,-90.178,36.585
5270,7605,1997,999912,EC,220,248,NG,RC,CC,Groundwater,22,17090012_WA,17080001_WA,-122.726,45.65
5271,7627,1996,201110,WD,36,26,NN,NN,NN,Surface,22,17110019_WA,17110019_WA,-122.222,47.978
5272,7646,1983,999912,HY,11.5,11.5,HY,NA,HY,Surface,23,18020162_CA,18020109_CA,-122.104,38.513
5273,7652,1952,20124,H1,9.4,9.4,NN,NN,NN,Surface,12,03060106_SC,03060106_SC,-81.683,33.291
5274,7652,1952,20124,H1,9.4,9.4,NN,NN,NN,Surface,12,03060106_SC,03060106_SC,-81.683,33.291
5275,7652,1952,20124,H1,9.4,9.4,NN,NN,NN,Surface,12,03060106_SC,03060106_SC,-81.683,33.291
5276,7652,1952,20124,H1,12.5,12.5,NN,NN,NN,Surface,12,03060106_SC,03060106_SC,-81.683,33.291
5277,7652,1952,20124,H1,12.5,12.5,NN,NN,NN,Surface,12,03060106_SC,03060106_SC,-81.683,33.291
5278,7652,1952,20124,H1,12.5,12.5,NN,NN,NN,Surface,12,03060106_SC,03060106_SC,-81.683,33.291
5279,7652,1952,20124,H1,12.5,12.5,NN,NN,NN,Surface,12,03060106_SC,03060106_SC,-81.683,33.291
5280,7657,1986,999912,HY,4.3,4.5,HY,NA,HY,Surface,4,04100007_OH,04100007_OH,-84.399,41.237
5281,7678,1964,201012,ET,13,13,OL,NA,CT,Groundwater,18,11120301_TX,11120301_TX,-100.841,35.424
5282,7678,1979,201012,ST,26,26,OL,RC,ST,Groundwater,18,11120301_TX,11120301_TX,-100.841,35.424
5283,7690,1996,999912,MS,5.4,5.4,BG,NA,CT,Surface,3,02040201_PA,02040201_PA,-74.783,40.167
5284,7693,1991,999912,ET,44.5,46.5,NG,NA,CT,Groundwater,23,18070201_CA,18070203_CA,-117.856,33.833
5285,7697,1999,999912,EC,100,107,NG,RC,CC,Surface,17,03160203_AL,03160203_AL,-88.016,31.25
5286,7698,1999,999912,EC,97,102,NG,RC,CC,Surface,17,03150201_AL,03150201_AL,-86.524,32.31
5287,7699,1997,999912,EC,205,231,NG,RC,CC,Surface,15,03100101_FL,03100101_FL,-81.851,27.746
5288,7701,1996,999912,MS,60,60,NN,NN,NN,Surface,3,02040201_PA,02040201_PA,-74.751,40.14
5289,7705,1997,999912,MS,3,3,BG,NA,CT,Surface,15,03080103_FL,03080103_FL,-81.464,30.336
